Brand,Model,Price,Rating,Link,Favori Number,Rush Delivery,Free Cargo,İşlemci Tipi,Ram (Sistem Belleği),SSD Kapasitesi,İşletim Sistemi,Ekran Kartı,Ekran Boyutu,Çözünürlük,Kullanım Amacı,Cihaz Ağırlığı,Ekran Yenileme Hızı,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Hard Disk Kapasitesi,Dokunmatik Ekran,Panel Tipi,Ram (Sistem Belleği) Tipi,Renk,Garanti Tipi,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Bağlantılar,Klavye,Ekran Kartı Bellek Tipi,Çözünürlük Standartı,Garanti Süresi,Arttırılabilir Azami Bellek,HDMI
ACER,Nitro V15 Anv15-41 Amd R7 7735hs 32gb 512gb Ssd Rtx4060-8gb Dos 15.6 Fhd 165hz Notebook Nh.qsfe,41299.0,3.7,https://www.trendyol.com/acer/nitro-v15-anv15-41-amd-r7-7735hs-32gb-512gb-ssd-rtx4060-8gb-dos-15-6-fhd-165hz-notebook-nh-qsfe-p-828653810?boutiqueId=61&merchantId=106740,369.0,1,1,AMD Ryzen 7,32.0,0.5,Free Dos,Nvidia GeForce RTX 4060,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,165.0,Harici,8,7735HS,7. Nesil,8.0,1.0,Yok,IPS,DDR5,Siyah,ACER Türkiye Garantili,3.2,4.7,USB - Bluetooth - HDMI,RGB Numeric,DDR5,Full HD (FHD),2.0,32.0,Yok
CASPER,Excalibur G770.1270-BFJ0X-B i7-12700H 16GB RAM 1TB NVMe SSD GEN4 4GB RTX3050 DOS GAMING LAPTOP,32799.0,4.6,https://www.trendyol.com/casper/excalibur-g770-1270-bfj0x-b-i7-12700h-16gb-ram-1tb-nvme-ssd-gen4-4gb-rtx3050-dos-gaming-laptop-p-311975829?boutiqueId=61&merchantId=114258,2231.0,0,1,Intel Core i7,16.0,1.0,Free Dos,Nvidia GeForce RTX 3050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,4,12700H,12. Nesil,14.0,0.48828125,Yok,IPS,DDR4,Siyah,Casper Türkiye Garantili,2.3,4.7,HDMI,Q Türkçe,GDDR6,Full HD (FHD),2.0,64.0,Yok
ASUS,"X1504ZA-NJ018T2 Intel Core i5-1235U 16GB 512GB SSD 15.6"" FHD Freedos",16999.0,0.0,https://www.trendyol.com/asus/vivobook-15-x1504za-nj018t2-intel-core-i5-1235u-16gb-512gb-ssd-15-6-fhd-freedos-p-884166132?boutiqueId=61&merchantId=104683,0.0,1,1,Intel Core i5,16.0,0.5,Free Dos,Dahili Ekran Kartı,"15,6 inç",1920 x 1080,Ev - Okul,2 kg ve altı,60.0,Dahili,1,1235U,12. Nesil,10.0,0.25,Yok,TN,DDR4,Siyah,Lenovo Türkiye Garantili,1.3,4.4,HDMI,RGB,Dahili,Full HD (FHD),2.0,40.0,Yok
MONSTER,"Abra A5 V20.4 Intel Core i5 12450H 16 GB RAM 500 GB SSD 6 GB RTX 4050 FreeDos 15,6"" FHD 144 Hz",36199.0,4.8,https://www.trendyol.com/monster/abra-a5-v20-4-intel-core-i5-12450h-16-gb-ram-500-gb-ssd-6-gb-rtx-4050-freedos-15-6-fhd-144-hz-p-760273446?boutiqueId=61&merchantId=524232,2238.0,1,1,Intel Core i5,16.0,0.48828125,Free Dos,Nvidia GeForce RTX 4050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,6,12450H,12. Nesil,8.0,0.5,Yok,IPS,DDR4,Siyah,Monster Türkiye Garantili,2.0,4.4,USB - Bluetooth - HDMI,RGB Numeric,GDDR6,Full HD (FHD),1.0,32.0,Yok
Dell,"VOSTRO 3520 Intel Core i5-1235U 32GB 1TB SSD 15.6"" FHD Freedos N1605PVNB3520U008",22999.0,4.7,https://www.trendyol.com/dell/vostro-3520-intel-core-i5-1235u-32gb-1tb-ssd-15-6-fhd-freedos-n1605pvnb3520u008-p-789217650?boutiqueId=61&merchantId=121474,570.0,1,1,Intel Core i5,32.0,1.0,Free Dos,Dahili Ekran Kartı,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,120.0,Dahili,1,1235U,12. Nesil,10.0,0.5,Yok,IPS,DDR4,Siyah,Resmi Distribütör Garantili,1.3,5.0,Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),2.0,64.0,Yok
LENOVO,"LOQ Intel Core i5 12450HX 24GB 512GB SSD RTX3050 Freedos 15.6"" FHD Taşınabilir Bilgisayar 83GS0099TR",34820.0,4.0,https://www.trendyol.com/lenovo/loq-intel-core-i5-12450hx-24gb-512gb-ssd-rtx3050-freedos-15-6-fhd-tasinabilir-bilgisayar-83gs0099tr-p-859520185?boutiqueId=61&merchantId=110963,134.0,1,1,Intel Core i5,24.0,0.5,Free Dos,Nvidia GeForce RTX 3050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,6,12450H,12. Nesil,8.0,0.25,Yok,IPS,DDR5,Siyah,Lenovo Türkiye Garantili,3.1,4.4,USB - Bluetooth - HDMI,Q Türkçe,GDDR6,Full HD (FHD),2.0,32.0,Yok
ACER,Aspire 3 A315-59g-522b Intel i5-1235u 8gb Ram 512gb Ssd 2gb Geforce Mx550 15.6'' Fhd W11 Notebo,18299.0,3.9,https://www.trendyol.com/acer/aspire-3-a315-59g-522b-intel-i5-1235u-8gb-ram-512gb-ssd-2gb-geforce-mx550-15-6-fhd-w11-notebo-p-772492863?boutiqueId=61&merchantId=108209,418.0,1,1,Intel Core i5,8.0,0.5,Windows,Nvidia GeForce MX550,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,1235U,11. Nesil,4.0,0.5,Yok,IPS,DDR4,Çok Renkli,ACER Türkiye Garantili,3.3,4.2,Bluetooth,Q Türkçe,DDR4,Full HD (FHD),2.0,8.0,Yok
ASUS,"Zenbook 14 UX3402VA-KP659W Intel i5-13500H 8GB 512GB SSD 14""WQXGA IPS (2560x1600) Win11Home",27599.0,5.0,https://www.trendyol.com/asus/zenbook-14-ux3402va-kp659w-intel-i5-13500h-8gb-512gb-ssd-14-wqxga-ips-2560x1600-win11home-p-822728794?boutiqueId=61&merchantId=552762,639.0,1,1,Intel Core i5,8.0,0.5,Windows,Intel XE Graphics,14 inç,2560 x 1600,Ofis - İş,2 kg ve altı,60.0,Dahili,1,13500H,13. Nesil,12.0,0.5,Yok,IPS,LPDDR5,Siyah,Asus Türkiye Garantili,2.7,4.7,USB-C,RGB,Dahili,WQXGA,2.0,8.0,Yok
ASUS,"Tuf Gaming A15 Fa507nu-lp053 Amd Ryzen 7 7735hs 8 Gb 512 Gb Ssd Rtx 4050 144 Hz Freedos 15.6"" F",45999.0,4.8,https://www.trendyol.com/asus/tuf-gaming-a15-fa507nu-lp053-amd-ryzen-7-7735hs-8-gb-512-gb-ssd-rtx-4050-144-hz-freedos-15-6-f-p-654338236?boutiqueId=61&merchantId=954456,2681.0,1,1,AMD Ryzen 7,8.0,0.5,Free Dos,Nvidia GeForce RTX 4050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,6,7735HS,7. Nesil,8.0,0.48828125,Yok,IPS,DDR5,GRİ,Asus Türkiye Garantili,3.2,4.7,USB,RGB,GDDR6,Full HD (FHD),2.0,32.0,Yok
MONSTER,"Huma H4 V5.2 Intel Core I7-1255u 16 Gb Ram 512 Gb Ssd Freedos 14,1"" Fhd",29599.0,4.9,https://www.trendyol.com/monster/huma-h4-v5-2-intel-core-i7-1255u-16-gb-ram-512-gb-ssd-freedos-14-1-fhd-p-456347368?boutiqueId=61&merchantId=105286,1686.0,0,1,Intel Core i7,16.0,0.5,Free Dos,Dahili Ekran Kartı,"14,1 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,1255U,12. Nesil,10.0,0.5,Yok,IPS,DDR4,Gümüş,Monster Türkiye Garantili,1.7,4.7,USB - Bluetooth - HDMI,RGB,Dahili,Full HD (FHD),2.0,64.0,Yok
