Brand,Model,Price,Rating,Link,Favori Number,Rush Delivery,Free Cargo,İşlemci Tipi,Ram (Sistem Belleği),SSD Kapasitesi,İşletim Sistemi,Ekran Kartı,Ekran Boyutu,Çözünürlük,Kullanım Amacı,Cihaz Ağırlığı,Ekran Yenileme Hızı,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Hard Disk Kapasitesi,Dokunmatik Ekran,Panel Tipi,Ram (Sistem Belleği) Tipi,Renk,Garanti Tipi,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Bağlantılar,Klavye,Ekran Kartı Bellek Tipi,Çözünürlük Standartı,Garanti Süresi,Arttırılabilir Azami Bellek,HDMI
ASUS,"Vivobook 15 F1502za-et0550a15 I3-1215u 8gb 1tbssd 15.6"" Fhd W11p Dizüstü Bilgisayar-cnt016",15639.0,5.0,https://www.trendyol.com/asus/vivobook-15-f1502za-et0550a15-i3-1215u-8gb-1tbssd-15-6-fhd-w11p-dizustu-bilgisayar-cnt016-p-869559377?boutiqueId=61&merchantId=106664,0.0,1,1,Intel Core i3,20.0,0.5,Windows,Intel UHD Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,1215U,12. Nesil,6.0,0.5,Yok,TN,DDR4,Gri,Resmi Distribütör Garantili,1.2,4.4,USB - Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),2.0,64.0,Yok
LENOVO,"IdeaPad1 AMD Ryzen 5-5500U 8GB 512GB SSD 15.6"" FHD DOS Cloud Grey Dizüstü Bilgisayar 82R400KYTX",15699.0,4.3,https://www.trendyol.com/lenovo/ideapad1-amd-ryzen-5-5500u-8gb-512gb-ssd-15-6-fhd-dos-cloud-grey-dizustu-bilgisayar-82r400kytx-p-832741075?boutiqueId=61&merchantId=880551,5888.0,1,1,AMD Ryzen 5,8.0,0.5,Free Dos,Intel UHD Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,5500U,5. Nesil,6.0,0.5,Yok,TN,DDR4,Gri,Lenovo Türkiye Garantili,2.0,4.3,USB - Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),2.0,16.0,Yok
HP,"250 G10 8A540EA i5-1340P 16GB 512SSD 15.6"" FullHD FreeDOS Taşınabilir Bilgisayar",21589.0,3.3,https://www.trendyol.com/hp/250-g10-8a540ea-i5-1340p-16gb-512ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-784451112?boutiqueId=61&merchantId=106664,210.0,1,1,Intel Core i5,16.0,0.5,Free Dos,Intel Iris Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,1340P,13. Nesil,12.0,1.0,Yok,LED,DDR4,Gri,Resmi Distribütör Garantili,3.3,4.6,USB - Bluetooth - HDMI,RGB,Dahili,Full HD (FHD),2.0,64.0,Yok
LENOVO,"Core I7-13620H 16GB 512GB SSD W11P 15.6""Bilgisayar CsrTech Çantalı",34999.0,0.0,https://www.trendyol.com/lenovo/ideapad-slim-3-intel-core-i7-13620h-16gb-512gb-ssd-w11p-15-6-bilgisayar-csrtech-cantali-p-883223580?boutiqueId=61&merchantId=147192,0.0,1,1,Intel Core i7,16.0,0.5,Windows,Intel UHD Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,13620H,13. Nesil,10.0,1.0,Yok,IPS,LPDDR5,Gri,Lenovo Türkiye Garantili,1.8,4.9,Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),2.0,32.0,Yok
MONSTER,"Core i7 13700HX 32 GB RAM 1 TB SSD 8 GB RTX 4060 FreeDos 17"" QHD+ 240 Hz",95999.0,0.0,https://www.trendyol.com/monster/semruk-s7-v9-1-intel-core-i7-13700hx-32-gb-ram-1-tb-ssd-8-gb-rtx-4060-freedos-17-qhd-240-hz-p-759329276?boutiqueId=61&merchantId=105286,246.0,0,1,Intel Core i7,32.0,1.0,Free Dos,Nvidia GeForce RTX 4060,17 inç,2560 x 1600,Oyun,2 - 4 kg,240.0,Harici,8,13700HX,13. Nesil,16.0,2.0,Yok,IPS,DDR5,Siyah,Monster Türkiye Garantili,2.1,5.0,USB - Bluetooth - HDMI,RGB Numeric,GDDR6,QHD+,2.0,32.0,Yok
LENOVO,"5-7235HS 16GB 512GB SSD 6 GB RTX3050 15.6"" Fdos Gaming Laptop 83JC000QTR",31699.0,0.0,https://www.trendyol.com/lenovo/loq-15arp9-ryzen-5-7235hs-16gb-512gb-ssd-6-gb-rtx3050-15-6-fdos-gaming-laptop-83jc000qtr-p-888654997?boutiqueId=61&merchantId=114271,0.0,1,1,AMD Ryzen 5,16.0,0.5,Free Dos,Nvidia GeForce RTX 3050,"15,6 inç",1920 x 1080,Ofis - İş,2 - 4 kg,60.0,Harici,6,1355U,12. Nesil,4.0,0.5,Yok,IPS,DDR5,Gri,Resmi Distribütör Garantili,3.2,4.2,USB - Bluetooth - HDMI,RGB Numeric,GDDR6,Full HD (FHD),2.0,64.0,Yok
LENOVO,"5-7235HS 16GB Uyumlu 1TB SSD 6 GB RTX3050 15.6"" Fdos Gaming Laptop",32399.0,0.0,https://www.trendyol.com/lenovo/loq-15arp9-ryzen-5-7235hs-16gb-uyumlu-1tb-ssd-6-gb-rtx3050-15-6-fdos-gaming-laptop-p-888653086?boutiqueId=61&merchantId=114271,0.0,1,1,AMD Ryzen 5,16.0,1.0,Free Dos,Nvidia GeForce RTX 3050,"15,6 inç",1920 x 1080,Ofis - İş,2 - 4 kg,60.0,Harici,6,i5-11320H,12. Nesil,4.0,0.5,Yok,IPS,DDR5,Gri,Resmi Distribütör Garantili,3.2,4.2,USB - Bluetooth - HDMI,RGB Numeric,GDDR6,Full HD (FHD),2.0,64.0,Yok
ASUS,"İ7 1360P ddr5 16GB 1TB SSD 14"" FullHd+ IPS Freedos I7161TBB0D03+ZETTAÇANTA",39499.99,0.0,https://www.trendyol.com/asus/expertbook-intel-core-i7-1360p-ddr5-16gb-1tb-ssd-14-fullhd-ips-freedos-i7161tbb0d03-zettacanta-p-849274058?boutiqueId=61&merchantId=106536,0.0,0,1,Intel Core i7,16.0,1.0,Free Dos,Intel Iris Graphics,14 inç,1920 x 1200,Ofis - İş,2 kg ve altı,120.0,Dahili,1,1360p,13. Nesil,12.0,0.25,Yok,IPS,DDR5,Siyah,Resmi Distribütör Garantili,1.3,4.6,Wi-Fi,Q Türkçe,Dahili,FHD+,2.0,32.0,Yok
LENOVO,"1TB SSD RTX3050/6GB 15.6"" FHD 144Hz FDOS 83DV00G5TR & PER4 ÇANTA",48495.34,0.0,https://www.trendyol.com/lenovo/loq-i7-13650hx-16gb-1tb-ssd-rtx3050-6gb-15-6-fhd-144hz-fdos-83dv00g5tr-per4-canta-p-848599631?boutiqueId=61&merchantId=668896,0.0,0,1,Intel Core i7,16.0,1.0,Free Dos,Nvidia GeForce RTX 3050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,6,13650HX,13. Nesil,20.0,0.5,Yok,IPS,DDR5,Gri,Lenovo Türkiye Garantili,1.8,4.9,USB - Bluetooth - HDMI,RGB Numeric,GDDR6,Full HD (FHD),2.0,64.0,Yok
LENOVO,"512GB SSD RTX3050/6GB 15.6"" FHD 144Hz FDOS 83DV00G5TR & PER4 ÇANTA",48149.12,0.0,https://www.trendyol.com/lenovo/loq-i7-13650hx-32gb-512gb-ssd-rtx3050-6gb-15-6-fhd-144hz-fdos-83dv00g5tr-per4-canta-p-848599070?boutiqueId=61&merchantId=668896,0.0,0,1,Intel Core i7,32.0,0.5,Free Dos,Nvidia GeForce RTX 3050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,6,13650HX,13. Nesil,20.0,1.0,Yok,IPS,DDR5,Gri,Lenovo Türkiye Garantili,1.8,4.9,USB - Bluetooth - HDMI,RGB Numeric,GDDR6,Full HD (FHD),2.0,64.0,Yok
LENOVO,i5-13420H 16GB 512GB SSD 15.6 FHD FreeDOS Notebook,21208.97,0.0,https://www.trendyol.com/lenovo/v15-g4-83a100a5tr-i5-13420h-16gb-512gb-ssd-15-6-fhd-freedos-notebook-p-839398027?boutiqueId=61&merchantId=197602,0.0,0,1,MediaTek P60T,36.0,0.03125,Windows,Intel XE Graphics,18 inç,4480 x 2520,Ev - Okul,2 kg ve altı,90.0,Harici,10,4800HS,5. Nesil,10.0,0.48828125,Yok,TN,LPDDR4X,Siyah,ACER Türkiye Garantili,1.5,4.3,USB,RGB Numeric,Dahili,Ultra HD 4K (UHD),2.0,64.0,Yok
ASUS,"F1502ZA-ET0550A10 i3-1215U 20GB 1TBSSD 15.6"" FHD FreeDOS Dizüstü Bilgisayar-CNT011",15899.0,0.0,https://www.trendyol.com/asus/vivobook-15-f1502za-et0550a10-i3-1215u-20gb-1tbssd-15-6-fhd-freedos-dizustu-bilgisayar-cnt011-p-869559607?boutiqueId=61&merchantId=106664,0.0,1,1,Intel Core i3,20.0,1.0,Linux,Intel UHD Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,1215U,12. Nesil,6.0,0.5,Yok,TN,DDR4,Çok Renkli,Resmi Distribütör Garantili,1.2,4.4,USB - Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),2.0,64.0,Yok
LENOVO,"I5-10300h 16 Gb 512 Gb Ssd Gtx1650tı 15.6"" 82d4005jtx Full Hd Notebook",29999.0,0.0,https://www.trendyol.com/lenovo/ideapad-creator-5-i5-10300h-16-gb-512-gb-ssd-gtx1650ti-15-6-82d4005jtx-full-hd-notebook-p-377258002?boutiqueId=61&merchantId=115251,0.0,1,1,Intel Core i5,16.0,0.5,Free Dos,Nvidia GeForce GTX1650 Ti,"15,6 inç",1920 x 1080,Ev - Okul,2 kg ve altı,240.0,Dahili,4,10300H,10. Nesil,4.0,0.5,Yok,IPS,DDR4,Yeşil,Resmi Distribütör Garantili,2.4,4.4,USB - Bluetooth - HDMI,Q İngilizce,DDR4,Full HD (FHD),2.0,16.0,Yok
ASUS,"B1502CBA-I78512B0D17 i7-1255U 40GB 1TBSSD 15.6"" FHD W11P Dizüstü Bilgisaya-CNT018",29149.0,0.0,https://www.trendyol.com/asus/expertbook-b1-b1502cba-i78512b0d17-i7-1255u-40gb-1tbssd-15-6-fhd-w11p-dizustu-bilgisaya-cnt018-p-874399877?boutiqueId=61&merchantId=106664,0.0,1,1,Intel Core i7,40.0,1.0,Windows,Intel XE Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,1255U,12. Nesil,10.0,0.48828125,Yok,TN,DDR4,Siyah,Resmi Distribütör Garantili,1.7,4.7,USB - Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),2.0,40.0,Yok
ASUS,"FA507UI-LP125A16 Ryzen9 8945HS 16GB 512SSD RTX4070 15.6"" FullHD W11P Taşınabilir",73439.0,0.0,https://www.trendyol.com/asus/tuf-gaming-a15-fa507ui-lp125a16-ryzen9-8945hs-16gb-512ssd-rtx4070-15-6-fullhd-w11p-tasinabilir-p-849036934?boutiqueId=61&merchantId=106664,0.0,1,1,AMD Ryzen 9,16.0,0.5,Windows,Nvidia GeForce RTX 4070,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,8,8945HS,8. Nesil,8.0,1.0,Yok,IPS,DDR5,Siyah,Resmi Distribütör Garantili,4.0,5.0,USB - Bluetooth - HDMI,RGB Numeric,GDDR6,Full HD (FHD),2.0,64.0,Yok
LENOVO,"256GB SSD RTX3050/6GB 15.6"" FHD 144Hz W11H 83DV00G5TR & PER4 ÇANTA",57033.55,0.0,https://www.trendyol.com/lenovo/loq-i7-13650hx-96gb-256gb-ssd-rtx3050-6gb-15-6-fhd-144hz-w11h-83dv00g5tr-per4-canta-p-848598514?boutiqueId=61&merchantId=668896,0.0,0,1,Intel Core i7,96.0,0.25,Windows,Nvidia GeForce RTX 3050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,6,13650HX,13. Nesil,20.0,1.0,Yok,IPS,DDR5,Gri,Lenovo Türkiye Garantili,1.8,4.9,USB - Bluetooth - HDMI,RGB Numeric,GDDR6,Full HD (FHD),2.0,64.0,Yok
LENOVO,"4TB SSD RTX3050/6GB 15.6"" FHD 144Hz FDOS 83DV00G5TR & PER4 ÇANTA",68416.49,0.0,https://www.trendyol.com/lenovo/loq-i7-13650hx-96gb-4tb-ssd-rtx3050-6gb-15-6-fhd-144hz-fdos-83dv00g5tr-per4-canta-p-848595831?boutiqueId=61&merchantId=668896,0.0,0,1,Intel Core i7,96.0,4.0,Free Dos,Nvidia GeForce RTX 3050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,6,13650HX,13. Nesil,20.0,1.0,Yok,IPS,DDR5,Gri,Lenovo Türkiye Garantili,1.8,4.9,USB - Bluetooth - HDMI,RGB Numeric,GDDR6,Full HD (FHD),2.0,64.0,Yok
HP,"7P6L3EA09 i5-13500H 32GB 512SSD RTX4060 16.1"" FHD W11P Dizüstü Bilgisayar",50419.0,0.0,https://www.trendyol.com/hp/victus-16-r0035nt-7p6l3ea09-i5-13500h-32gb-512ssd-rtx4060-16-1-fhd-w11p-dizustu-bilgisayar-p-886587710?boutiqueId=61&merchantId=106664,0.0,1,1,Intel Core i5,32.0,0.5,Windows,Nvidia GeForce RTX 4060,"16,1 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,8,13500H,13. Nesil,12.0,0.5,Yok,IPS,DDR5,Koyu Gri,Resmi Distribütör Garantili,1.9,4.7,USB - Bluetooth - HDMI,RGB Numeric,GDDR6,Full HD (FHD),2.0,64.0,Yok
ASUS,NB X515MA-EJ955W CELERON N4020 4GB 128SSD O/B 15.6 W11,10599.0,5.0,https://www.trendyol.com/asus/nb-x515ma-ej955w-celeron-n4020-4gb-128ssd-o-b-15-6-w11-p-801367241?boutiqueId=61&merchantId=264143,304.0,1,1,Intel Celeron,4.0,0.125,Windows,Intel UHD Graphics 600,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,N4020,11. Nesil,2.0,0.25,Yok,TN,DDR4,Gri,Asus Türkiye Garantili,1.1,4.3,Bluetooth - USB,Q Türkçe,Dahili,Full HD (FHD),2.0,64.0,Yok
ASUS,Rog Strix G16 Intel i7-13650HX 32 GB Ram 2 TB SSD 8gb RTX4060 Win11 Pro G614JV-N3157 Zi729,85770.39,5.0,https://www.trendyol.com/asus/rog-strix-g16-intel-i7-13650hx-32-gb-ram-2-tb-ssd-8gb-rtx4060-win11-pro-g614jv-n3157-zi729-p-777891540?boutiqueId=61&merchantId=820455,110.0,0,1,Intel Core i7,32.0,2.0,Windows,Nvidia GeForce RTX 4060,16 inç,1920 x 1200,Tasarım,2 - 4 kg,165.0,Harici,8,13650HX,13. Nesil,14.0,0.48828125,Yok,IPS,DDR5,Gri,Resmi Distribütör Garantili,2.6,4.9,USB - Bluetooth - HDMI,Q Türkçe,GDDR6,Full HD (FHD),2.0,64.0,Yok
Dell,"Vostro 3510 N1823vn3510_u I3-1115g4 4gb 256ssd 15.6"" Hd Freedos Taşınabilir Bilgisayar",12072.3,5.0,https://www.trendyol.com/dell/vostro-3510-n1823vn3510-u-i3-1115g4-4gb-256ssd-15-6-hd-freedos-tasinabilir-bilgisayar-p-411404854?boutiqueId=61&merchantId=131329,0.0,0,1,Intel Core i3,4.0,0.25,Free Dos,Intel UHD Graphics,"15,6 inç",1366 x 768,Ofis - İş,2 kg ve altı,120.0,Dahili,1,1115G4,11. Nesil,2.0,0.5,Yok,SVA,DDR4,Gri,Resmi Distribütör Garantili,4.0,1.4,Bluetooth - USB,Q Türkçe,SD,HD Ready (HD),2.0,32.0,Yok
ASUS,"EXPERTBOOK B1502CBA-OZT24GB I5-1235U 24 GB 1 TB M2 SSD 15.6"" FHD WİNDOWS 11 PRO",23999.0,5.0,https://www.trendyol.com/asus/expertbook-b1502cba-ozt24gb-i5-1235u-24-gb-1-tb-m2-ssd-15-6-fhd-windows-11-pro-p-865417262?boutiqueId=61&merchantId=121474,0.0,1,1,Intel Core i5,24.0,1.0,Windows,Intel UHD Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 - 4 kg,60.0,Dahili,1,1235U,12. Nesil,10.0,1.0,Yok,LED,DDR4,Siyah,Asus Türkiye Garantili,1.3,4.4,USB - Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),2.0,40.0,Yok
LENOVO,"V15 82TT00A5TX07 i5-1235U 16GB 512SSD 15.6"" FullHD W11P Taşınabilir Bilgisayar",19499.0,5.0,https://www.trendyol.com/lenovo/v15-82tt00a5tx07-i5-1235u-16gb-512ssd-15-6-fullhd-w11p-tasinabilir-bilgisayar-p-760940738?boutiqueId=61&merchantId=106664,0.0,1,1,Intel Core i5,16.0,0.5,Windows,Intel Iris Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,1235U,12. Nesil,10.0,1.0,Yok,TN,DDR4,Gri,Resmi Distribütör Garantili,1.2,4.6,USB - Bluetooth - HDMI,Q Türkçe,SD,Full HD (FHD),2.0,16.0,Yok
HP,RAM 1TB SSD RTX3050/4GB 144Hz 15.6'' FHD W11HOME & PER4 ÇANTA,39773.76,0.0,https://www.trendyol.com/hp/victus-15-i5-12450h-32gb-ram-1tb-ssd-rtx3050-4gb-144hz-15-6-fhd-w11home-per4-canta-p-863418399?boutiqueId=61&merchantId=668896,0.0,0,1,Intel Core i5,32.0,1.0,Windows,Nvidia GeForce RTX 3050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,4,12450H,12. Nesil,12.0,0.5,Yok,IPS,DDR4,Siyah,HP Türkiye Garantili,3.3,4.4,USB - Bluetooth - HDMI,RGB Numeric,GDDR6,Full HD (FHD),2.0,64.0,Yok
LENOVO,"2TB SSD RTX3050/6GB 15.6"" FHD 144Hz FDOS 83DV00G5TR & PER4 ÇANTA",57923.26,0.0,https://www.trendyol.com/lenovo/loq-i7-13650hx-64gb-2tb-ssd-rtx3050-6gb-15-6-fhd-144hz-fdos-83dv00g5tr-per4-canta-p-848600711?boutiqueId=61&merchantId=668896,0.0,0,1,Intel Core i7,64.0,2.0,Free Dos,Nvidia GeForce RTX 3050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,6,13650HX,13. Nesil,20.0,1.0,Yok,IPS,DDR5,Gri,Lenovo Türkiye Garantili,1.8,4.9,USB - Bluetooth - HDMI,RGB Numeric,GDDR6,Full HD (FHD),2.0,64.0,Yok
LENOVO,"4TB SSD RTX3050/6GB 15.6"" FHD 144Hz FDOS 83DV00G5TR & PER4 ÇANTA",58095.89,0.0,https://www.trendyol.com/lenovo/loq-i7-13650hx-24gb-4tb-ssd-rtx3050-6gb-15-6-fhd-144hz-fdos-83dv00g5tr-per4-canta-p-848598852?boutiqueId=61&merchantId=668896,0.0,0,1,Intel Core i7,24.0,4.0,Free Dos,Nvidia GeForce RTX 3050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,6,13650HX,13. Nesil,20.0,1.0,Yok,IPS,DDR5,Gri,Lenovo Türkiye Garantili,1.8,4.9,USB - Bluetooth - HDMI,RGB Numeric,GDDR6,Full HD (FHD),2.0,64.0,Yok
LENOVO,"512GB SSD RTX3050/6GB 15.6"" FHD 144Hz FDOS 83DV00G5TR & PER4 ÇANTA",44500.46,0.0,https://www.trendyol.com/lenovo/loq-i7-13650hx-8gb-512gb-ssd-rtx3050-6gb-15-6-fhd-144hz-fdos-83dv00g5tr-per4-canta-p-848598083?boutiqueId=61&merchantId=668896,0.0,0,1,Intel Core i7,8.0,0.5,Free Dos,Nvidia GeForce RTX 3050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,6,13650HX,13. Nesil,20.0,0.48828125,Yok,IPS,DDR5,Gri,Lenovo Türkiye Garantili,1.8,4.9,USB - Bluetooth - HDMI,RGB Numeric,GDDR6,Full HD (FHD),2.0,64.0,Yok
Dell,"16GB 1TB SSD 15.6"" FHD 120Hz Freedos Laptop N1601PVNB3530U 003",25499.0,0.0,https://www.trendyol.com/dell/vostro-3530-i7-1355u-16gb-1tb-ssd-15-6-fhd-120hz-freedos-laptop-n1601pvnb3530u-003-p-811139304?boutiqueId=61&merchantId=109239,0.0,0,1,Intel Core i7,16.0,1.0,Linux,Dahili Ekran Kartı,"15,6 inç",1920 x 1080,Ofis - İş,2 - 4 kg,60.0,Dahili,1,1355U,13. Nesil,10.0,0.5,Yok,SVA,DDR4,Siyah,Resmi Distribütör Garantili,4.0,1.4,HDMI,Q Türkçe,Dahili,Full HD (FHD),2.0,64.0,Yok
ACER,"Intel I5-12450H Uyumlu  16gb 512GB SSD UHD Graphics 15.6""IPS Bilgisayar",18899.0,0.0,https://www.trendyol.com/acer/aspire-5-a515-57-566w5-intel-i5-12450h-uyumlu-16gb-512gb-ssd-uhd-graphics-15-6-ips-bilgisayar-p-869710273?boutiqueId=61&merchantId=444099,0.0,1,1,Intel Core i5,16.0,0.5,Free Dos,Intel UHD Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 - 4 kg,60.0,Dahili,1,12450H,12. Nesil,8.0,0.5,Yok,IPS,DDR4,Siyah,ACER Türkiye Garantili,2.4,2.0,Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),2.0,8.0,Yok
LENOVO,13.Nesil Core i5 1335U-8Gb-256Gb Ssd-12.4inc-W11,39999.0,0.0,https://www.trendyol.com/lenovo/ideapad-duet-5-13-nesil-core-i5-1335u-8gb-256gb-ssd-12-4inc-w11-p-869579583?boutiqueId=61&merchantId=624588,0.0,0,1,Intel Core i5,8.0,0.25,Windows,Intel Iris Graphics,"12,4 inç",2560 x 1600,Ofis - İş,2 kg ve altı,144.0,Dahili,1,1335U,13. Nesil,10.0,0.25,Var,IPS,LPDDR4X,Gri,Resmi Distribütör Garantili,1.1,4.6,USB,Q Türkçe,GDDR6,Dokunmatik,2.0,64.0,Yok
LENOVO,"2TB SSD RTX3050/6GB 15.6"" FHD 144Hz W11P 83DV00G5TR & PER4 ÇANTA",61988.05,0.0,https://www.trendyol.com/lenovo/loq-i7-13650hx-64gb-2tb-ssd-rtx3050-6gb-15-6-fhd-144hz-w11p-83dv00g5tr-per4-canta-p-848595811?boutiqueId=61&merchantId=668896,0.0,0,1,Intel Core i7,64.0,2.0,Windows,Nvidia GeForce RTX 3050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,6,13650HX,13. Nesil,20.0,1.0,Yok,IPS,DDR5,Gri,Lenovo Türkiye Garantili,1.8,4.9,USB - Bluetooth - HDMI,RGB Numeric,GDDR6,Full HD (FHD),2.0,64.0,Yok
LENOVO,"2TB SSD RTX3050/6GB 15.6"" FHD 144Hz W11H 83DV00G5TR & PER4 ÇANTA",59955.66,0.0,https://www.trendyol.com/lenovo/loq-i7-13650hx-64gb-2tb-ssd-rtx3050-6gb-15-6-fhd-144hz-w11h-83dv00g5tr-per4-canta-p-848594023?boutiqueId=61&merchantId=668896,0.0,0,1,Intel Core i7,64.0,2.0,Windows,Nvidia GeForce RTX 3050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,6,13650HX,13. Nesil,20.0,1.0,Yok,IPS,DDR5,Gri,Lenovo Türkiye Garantili,1.8,4.9,USB - Bluetooth - HDMI,RGB Numeric,GDDR6,Full HD (FHD),2.0,64.0,Yok
LENOVO,"2TB SSD A530M/4GB 15.6"" FHD 144Hz FDOS 83FQ000UTR & PER4 ÇANTA",35345.48,0.0,https://www.trendyol.com/lenovo/loq-i5-12450hx-8gb-2tb-ssd-a530m-4gb-15-6-fhd-144hz-fdos-83fq000utr-per4-canta-p-848522870?boutiqueId=61&merchantId=668896,0.0,0,1,Intel Core i5,8.0,2.0,Free Dos,Dahili Ekran Kartı,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,4,12450H,12. Nesil,12.0,1.0,Yok,IPS,DDR5,Gri,Lenovo Türkiye Garantili,1.6,4.4,USB - Bluetooth - HDMI,RGB Numeric,GDDR6,Full HD (FHD),2.0,64.0,Yok
LENOVO,"2TB SSD A530M/4GB 15.6"" FHD 144Hz W11H 83FQ000UTR & PER4 ÇANTA",36585.67,0.0,https://www.trendyol.com/lenovo/loq-i5-12450hx-8gb-2tb-ssd-a530m-4gb-15-6-fhd-144hz-w11h-83fq000utr-per4-canta-p-848521780?boutiqueId=61&merchantId=668896,0.0,0,1,Intel Core i5,8.0,2.0,Windows,Dahili Ekran Kartı,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,4,12450H,12. Nesil,12.0,1.0,Yok,IPS,DDR5,Gri,Lenovo Türkiye Garantili,1.6,4.4,USB - Bluetooth - HDMI,RGB Numeric,GDDR6,Full HD (FHD),2.0,64.0,Yok
LENOVO,"2TB SSD A530M/4GB 15.6"" FHD 144Hz W11P 83FQ000UTR & PER4 ÇANTA",37825.86,0.0,https://www.trendyol.com/lenovo/loq-i5-12450hx-8gb-2tb-ssd-a530m-4gb-15-6-fhd-144hz-w11p-83fq000utr-per4-canta-p-848521426?boutiqueId=61&merchantId=668896,0.0,0,1,Intel Core i5,8.0,2.0,Windows,Dahili Ekran Kartı,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,4,12450H,12. Nesil,12.0,1.0,Yok,IPS,DDR5,Gri,Lenovo Türkiye Garantili,1.6,4.4,USB - Bluetooth - HDMI,RGB Numeric,GDDR6,Full HD (FHD),2.0,64.0,Yok
LENOVO,"512GB SSD A530M/4GB 15.6"" FHD 144Hz FDOS 83FQ000UTR & PER4 ÇANTA",34223.19,0.0,https://www.trendyol.com/lenovo/loq-i5-12450hx-40gb-512gb-ssd-a530m-4gb-15-6-fhd-144hz-fdos-83fq000utr-per4-canta-p-848521309?boutiqueId=61&merchantId=668896,0.0,0,1,Intel Core i5,40.0,0.5,Free Dos,Dahili Ekran Kartı,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,4,12450H,12. Nesil,12.0,0.5,Yok,IPS,DDR5,Gri,Lenovo Türkiye Garantili,1.6,4.4,USB - Bluetooth - HDMI,RGB Numeric,GDDR6,Full HD (FHD),2.0,64.0,Yok
Apple,"Macbook Air M3 Çip 8gb 256gb Ssd Macos 15"" Taşınabilir Bilgisayar Gümüş Mryp3tu/a",51899.0,4.8,https://www.trendyol.com/apple/macbook-air-m3-cip-8gb-256gb-ssd-macos-15-tasinabilir-bilgisayar-gumus-mryp3tu-a-p-814750676?boutiqueId=61&merchantId=133925,448.0,1,1,Apple M3,8.0,0.25,Mac Os,Dahili Ekran Kartı,"15,4 inç",2880 x 1620,Ofis - İş,2 kg ve altı,120.0,Dahili,1,M3,3. Nesil,8.0,0.5,Yok,IPS,Birleşik Bellek,Gümüş,Apple Türkiye Garantili,3.1,5.0,USB-C,RGB,Dahili,QHD,2.0,8.0,Yok
