Brand,Model,Price,Rating,Link,Favori Number,Rush Delivery,Free Cargo,İşlemci Tipi,Ram (Sistem Belleği),SSD Kapasitesi,İşletim Sistemi,Ekran Kartı,Ekran Boyutu,Çözünürlük,Kullanım Amacı,Cihaz Ağırlığı,Ekran Yenileme Hızı,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Hard Disk Kapasitesi,Dokunmatik Ekran,Panel Tipi,Ram (Sistem Belleği) Tipi,Renk,Garanti Tipi,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Optik Sürücü Tipi,Bağlantılar,Klavye,Ekran Kartı Bellek Tipi,Çözünürlük Standartı,Garanti Süresi,Arttırılabilir Azami Bellek,Menşei,Kapasite,İşlemci Frekansı,Power Supply,HDMI,Şarjlı Kullanım Süresi,Soket Tipi,SSD Teknolojisi,Beden,Okula Dönüş,Ekran Kartı Gücü,Görüntü Kalitesi,Ekran Özelliği
LENOVO,"LOQ 83GS007WTR18 i5-12450HX 16GB 512SSD RTX4050 15.6"" FHD W11P Dizüstü Bilgisayar-CNT019",40.739 TL,5.0,https://www.trendyol.com/lenovo/loq-83gs007wtr18-i5-12450hx-16gb-512ssd-rtx4050-15-6-fhd-w11p-dizustu-bilgisayar-cnt019-p-857178367?boutiqueId=61&merchantId=106664,0,1,1,Intel Core i5,16 GB,512 GB,Windows,Nvidia GeForce RTX 4050,"15,6 inç",1920 x 1080,Oyun,2 kg ve altı,144 Hz,Harici,6 GB,Belirtilmemiş,12. Nesil,8,HDD Yok,Yok,IPS,DDR5,Çok Renkli,Resmi Distribütör Garantili,,,,USB - Bluetooth - HDMI,Q Türkçe (Aydınlatmalı),GDDR6,Full HD (FHD),2 Yıl,64 GB,,,,,,,,,,,,,
HP,"512Gb SSD Intel Iris X Grafik Kartı 15,6'' W11H Gümüş Notebook 9Y6U9At",17.999 TL,0,https://www.trendyol.com/hp/250-g9-i5-1235u-8gb-ram-512gb-ssd-intel-iris-x-grafik-karti-15-6-w11h-gumus-notebook-9y6u9at-p-875929044?boutiqueId=61&merchantId=107870,0,0,1,Intel Core i5,8 GB,512 GB,Windows,Intel Iris Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 - 4 kg,Belirtilmemiş,Dahili,Paylaşımlı,1235U,12. Nesil,Belirtilmemiş,HDD Yok,Yok,,Birleşik Bellek,Siyah,HP Türkiye Garantili,,,,Bluetooth,Q Türkçe,Belirtilmemiş,Full HD (FHD),2 Yıl,,,,,,,,,,,,,,
Dell,1TB SSD 6GB RTX3050 95W 15.6 FHD 120Hz Ubuntu G155530005U-32-1,40.799 TL,0,https://www.trendyol.com/dell/g15-5530-i7-13650hx-32gb-1tb-ssd-6gb-rtx3050-95w-15-6-fhd-120hz-ubuntu-g155530005u-32-1-p-861614229?boutiqueId=61&merchantId=105378,0,0,1,Intel Core i7,32 GB,1 TB,Linux,Nvidia GeForce RTX 3050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,120 Hz,Harici,6 GB,13650HX,13. Nesil,14,HDD Yok,Yok,VA,DDR5,Siyah,Resmi Distribütör Garantili,,,,USB - Bluetooth - HDMI,Q Türkçe (Aydınlatmalı),GDDR6,Full HD (FHD),2 Yıl,32 GB,,,,,,,,,,,,,
ASUS,"FA506NF-HN004T21 AMD Ryzen 5 7535HS 16GB 512 GB SSD RTX2050 15.6"" FHD W11PRO",29.499 TL,0,https://www.trendyol.com/asus/tuf-gaming-a15-fa506nf-hn004t21-amd-ryzen-5-7535hs-16gb-512-gb-ssd-rtx2050-15-6-fhd-w11pro-p-863132824?boutiqueId=61&merchantId=147192,0,1,1,AMD Ryzen 5,16 GB,512 GB,Windows,Nvidia GeForce RTX 2050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144 Hz,Harici,4 GB ve altı,7535HS,Belirtilmemiş,6,HDD Yok,Yok,IPS,DDR5,Siyah,Resmi Distribütör Garantili,3.3,4.5,,USB - Bluetooth - HDMI,Q Türkçe + Numerik (RGB Aydınlatmalı),GDDR6,Full HD (FHD),2 Yıl,64 GB,,,,,,,,,,,,,
CASPER,X700.5500-8v00t-g-f Ryzen 5-5500u 8 Gb Ram 500gb Nvme Ssd Windows 11,19.000 TL,0,https://www.trendyol.com/casper/nirvana-x700-5500-8v00t-g-f-ryzen-5-5500u-8-gb-ram-500gb-nvme-ssd-windows-11-p-863363840?boutiqueId=61&merchantId=264505,0,1,1,AMD Ryzen 5,8 GB,500 GB,Windows,AMD Radeon Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60 Hz,Dahili,Paylaşımlı,5500U,5. Nesil,6,HDD Yok,Var,,DDR6,Metalik,Casper Türkiye Garantili,,,,USB - Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),2 Yıl,,,,,,,,,,,,,,
ASUS,"Expertbook Intel Core I3-1215U 8GB 512GB SSD 15.6""FHD Free Dos B1502CBA-I38512B0D",13.899 TL,4.3,https://www.trendyol.com/asus/expertbook-intel-core-i3-1215u-8gb-512gb-ssd-15-6-fhd-free-dos-b1502cba-i38512b0d-p-806156488?boutiqueId=61&merchantId=109239,331 kişi,0,1,Intel Core i3,8 GB,512 GB,Free Dos,Intel UHD Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60 Hz,Dahili,Paylaşımlı,1215U,12. Nesil,6,HDD Yok,Yok,IPS,DDR4,Siyah,Asus Türkiye Garantili,1.2,4.4,Yok,Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmasız),Dahili,Full HD (FHD),2 Yıl,32 GB,,,,,,4-6 Saat,,,,,,,
ASUS,"Ga605wv-qr121a5 Ryzenai9 Hx370 32gb 512ssd Rtx4060 16"" Qhd+ W11p Dizüstü Bilgi",112.899 TL,0,https://www.trendyol.com/asus/rog-zephyrus-g16-ga605wv-qr121a5-ryzenai9-hx370-32gb-512ssd-rtx4060-16-qhd-w11p-dizustu-bilgi-p-877679586?boutiqueId=61&merchantId=106664,0,1,1,AMD Ryzen AI 9,32 GB,512 GB,Windows,Nvidia GeForce RTX 4060,16 inç,2560 x 1600,Oyun,2 - 4 kg,240 Hz,Harici,8 GB,HX 370,3. Nesil,12+,HDD Yok,Yok,OLED,DDR5,Siyah,Resmi Distribütör Garantili,2,5.0,,USB - Bluetooth - HDMI,Q Türkçe (Aydınlatmalı),GDDR6,WQXGA,2 Yıl,,,,,,,,,,,,,,
ASUS,"Vivobook 15 X1504ZA-BQ325W03 i7-1255U 16GB 1TBSSD 15.6"" FullHD W11H Taşınabilir Bilgisayar",31.899 TL,5.0,https://www.trendyol.com/asus/vivobook-15-x1504za-bq325w03-i7-1255u-16gb-1tbssd-15-6-fullhd-w11h-tasinabilir-bilgisayar-p-761542437?boutiqueId=61&merchantId=914809,0,1,1,Intel Core i7,16 GB,1 TB,Windows,Intel Iris Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60 Hz,Dahili,Paylaşımlı,1255U,12. Nesil,10,HDD Yok,Yok,,DDR4,Gümüş,Resmi Distribütör Garantili,,,,USB - Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmasız),SD,Full HD (FHD),2 Yıl,,,,,,,,,,,,,,
Apple,"14-inch MacBook Pro: Apple M4 Pro chip with 12?core CPU and 16?core GPU, 24GB, 512GB SSD - Gümüş",94.799 TL,5.0,https://www.trendyol.com/apple/14-inch-macbook-pro-apple-m4-pro-chip-with-12-core-cpu-and-16-core-gpu-24gb-512gb-ssd-gumus-p-872448738?boutiqueId=61&merchantId=160987,0,1,1,M4 Pro,24 GB,512 GB,Mac Os,Dahili Ekran Kartı,"14,2 inç",3024 x 1964,Ofis - İş,2 kg ve altı,120 Hz,Dahili,Paylaşımlı,Belirtilmemiş,4. Nesil,12+,HDD Yok,Yok,,Birleşik Bellek,Gümüş,Apple Türkiye Garantili,,,,USB-C,Q Türkçe (Aydınlatmalı),Dahili,Retina,2 Yıl,,,,,,,,,,,,,,
ASUS,"B1502CBA-I58512B3D i5-1235U 8GB 512GB SSD UHD Graphics 15.6"" Full HD Notebook",16.890 TL,0,https://www.trendyol.com/asus/expertbook-b1-b1502cba-i58512b3d-i5-1235u-8gb-512gb-ssd-uhd-graphics-15-6-full-hd-notebook-p-872272162?boutiqueId=61&merchantId=127233,0,1,1,Intel Core i5,8 GB,512 GB,Free Dos,Intel UHD Graphics,"15,6 inç",1920 x 1080,Ev - Okul,2 kg ve altı,60 Hz,Dahili,Paylaşımlı,1235U,12. Nesil,10,HDD Yok,Yok,,DDR4,Siyah,Resmi Distribütör Garantili,,,,USB - Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),2 Yıl,,,,,,,,,,,,,,
